package_name,version,application_type,Category
iPi Recorder,4.4.1.243,Utility,Office Productivity
iPi Mocap Studio,4.4.1.243,Utility,Office Productivity
Zoom Client,dl. 2021-03-11,Video Conferencing,Communication Tools
H5A Camera Line Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H5A Explosion-Protected Camera Line Camera Configuration Tool (CCT),2.0.0.2,firmware,Office Productivity
H5A-PTZ Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H5A Corner Camera Confirguration (CCT),2.0.0.2,Security tool,Office Productivity
H5SL Camera Line Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H5M Camera Line Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H4 Mini Dome Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H5 Pro Camera Line Configuration Tool,2.0.0.2,Security tool,Office Productivity
H4 Fisheye Camera Configuration Tool (CCT),dl. 2021-03-12,Security tool,Office Productivity
H4 IR PTZ Camera  Configure Tool (CCT),2.0.0.2,Security tool,Office Productivity
H4 Thermal Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H4 Thermal Elevated Temperature Detection ,2.0.0.2,Security tool,Office Productivity
Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H4 Video Intercom Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
H4 LPC Camera Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
Avigilon Presence Detector (APD) Configuration Tool (CCT),2.0.0.2,Security tool,Office Productivity
ACC 7 Client,7.12.2.46,Security tool,Office Productivity
ACC 7 Server ,7.12.2.46,Security tool,Office Productivity
ACC 7 Analytics Service ,7.12.2.26,Security tool,Office Productivity
PunkBuster ,3.8,Security tool,Office Productivity
PunkBuster Service Installer ,dl. 2021-03-16,Security tool,Office Productivity
PunkBuster UDP Console ,0.983,Security tool,Office Productivity
PunkBuster MD5Tool (md5tool) ,0.90,Security tool,Office Productivity
Affinity Designer,1.9.1,Design,CAD / Engineering Tools
Affinity Photo ,1.9.1,Photo,Office Productivity
Affinity Publisher ,1.9.1,Publishing,Office Productivity
Rebelle ,4,art,Office Productivity
Rebelle 4 ,4,Art & Design,CAD / Engineering Tools
Flame Painter ,4,Art & Design,CAD / Engineering Tools
Flame Painter,4,Art & Design,CAD / Engineering Tools
Amberlight,2,Art & Design,CAD / Engineering Tools
Inspirit ,1.1.5,Art & Design,CAD / Engineering Tools
BattlEye RCon ,0.94,Game,Kiosk / Public Access Software
Artweaver Plus 7 ,7.0.7,Art & Design,CAD / Engineering Tools
Artweaver Free 7 , 7.0.7,Art & Design,CAD / Engineering Tools
Artweaver Extra presets,1.0,plug-in,Office Productivity
Artweaver IrfanView AWD Plugin ,4.57,plug-in,Office Productivity
Artweaver XnView AWD Plugin,3.0,plug-in,Office Productivity
Artweaver Drop Shadow Plugin,1.3,plug-in,Office Productivity
Artweaver Drop Shadow Plugin ,1.3,plug-in,Office Productivity
Artweaver TWAIN32 Plugin ,1.3,plug-in,Office Productivity
Artweaver Language files,6,plug-in,Office Productivity
Artweaver Language files ,5,plug-in,Office Productivity
Artweaver Sprite Sheet Plugin ,1.3,plug-in,Office Productivity
Artweaver Sprite Sheet Plugin,1.3,plug-in,Office Productivity
Artweaver Polar Coordinates Plugin ,1.3,plug-in,Office Productivity
Artweaver DjVu Plugin,1.3,plug-in,Office Productivity
Artweaver Swap Channel Plugin ,1.3,plug-in,Office Productivity
Krita Installer,4.4.2,Art & Design,CAD / Engineering Tools
Krita Installer ,4.4.2,Art & Design,CAD / Engineering Tools
Krita Portable ,4.4.2,Art & Design,CAD / Engineering Tools
Krita, 2.8.1.1,Art & Design,CAD / Engineering Tools
Krita,2.9.0.1,Art & Design,CAD / Engineering Tools
Krita ,2.9.0.1,Art & Design,CAD / Engineering Tools
Krita ,2.9.0.0,Art & Design,CAD / Engineering Tools
Krita,2.9.0.0,Art & Design,CAD / Engineering Tools
Krita ,2.9.11.0,Art & Design,CAD / Engineering Tools
Krita ,3.0,Art & Design,CAD / Engineering Tools
Krita, 3.0.1.1,Art & Design,CAD / Engineering Tools
Krita ,3.0.1.1,Art & Design,CAD / Engineering Tools
Krita ,3.0.1.90,Art & Design,CAD / Engineering Tools
Krita ,3.0.1,Art & Design,CAD / Engineering Tools
Krita ,3.0.91,Art & Design,CAD / Engineering Tools
Krita, 3.0.92,Art & Design,CAD / Engineering Tools
Krita ,3.0.92,Art & Design,CAD / Engineering Tools
Krita, 3.0.93,Art & Design,CAD / Engineering Tools
Krita ,3.0.93,Art & Design,CAD / Engineering Tools
